text,label
"Win a free flight to Paris! Click here to claim your prize",spam
"Reminder: Your appointment is tomorrow at 10am",ham
"Congrats! You have been selected for a $1000 gift card",spam
"Can we reschedule our meeting to next Monday?",ham
"Lowest prices on meds, order now and save big",spam
"Here is the report you asked for — attached",ham
"Urgent: Update your account information to avoid suspension",spam
"Happy birthday! Let's catch up this weekend",ham
"Earn money from home, no experience required",spam
"Minutes from today's team meeting attached",ham
"Special offer: 50% off on all items — limited time",spam
"Your invoice for November is attached",ham